val_v2 时间戳匹配覆盖: 19996/20000

年份分桶 F1@0.5（阈值 0.9744）:
  2002: n=2, pos=0, F1=0.0000
  2003: n=3, pos=0, F1=0.0000
  2004: n=2, pos=0, F1=0.0000
  2005: n=15, pos=0, F1=0.0000
  2006: n=15, pos=0, F1=0.0000
  2007: n=40, pos=4, F1=0.8571
  2008: n=47, pos=0, F1=0.0000
  2009: n=54, pos=2, F1=1.0000
  2010: n=125, pos=2, F1=0.5000
  2011: n=228, pos=4, F1=0.6667
  2012: n=346, pos=4, F1=0.4444
  2013: n=632, pos=9, F1=0.6316
  2014: n=895, pos=18, F1=0.8824
  2015: n=1327, pos=14, F1=0.8571
  2016: n=1551, pos=18, F1=0.5882
  2017: n=1541, pos=25, F1=0.8000
  2018: n=1812, pos=17, F1=0.6154
  2019: n=2702, pos=26, F1=0.5161
  2020: n=2894, pos=28, F1=0.7368
  2021: n=2712, pos=33, F1=0.5714
  2022: n=2515, pos=42, F1=0.8049
  2023: n=538, pos=5, F1=0.5333
  全部: n=20000, F1=0.6846
